split	context_len	region	shard_index	available_windows	target_windows
train	4096	cds	0	980781	24594
train	4096	cds	1	979268	24556
train	4096	cds	2	980318	24582
train	4096	cds	3	980485	24587
train	4096	cds	4	978539	24538
train	4096	cds	5	980295	24582
train	4096	cds	6	979717	24567
train	4096	cds	7	978287	24532
train	4096	cds	8	979842	24571
train	4096	cds	9	979010	24550
train	4096	cds	10	979500	24562
train	4096	cds	11	979681	24567
train	4096	exon	0	235879	12380
train	4096	exon	1	235385	12354
train	4096	exon	2	235245	12347
train	4096	exon	3	235037	12336
train	4096	exon	4	235882	12381
train	4096	exon	5	235454	12358
train	4096	exon	6	234416	12304
train	4096	exon	7	235728	12372
train	4096	exon	8	235325	12351
train	4096	exon	9	235704	12371
train	4096	exon	10	235187	12344
train	4096	exon	11	236360	12406
train	4096	five_prime_utr	0	32812	4176
train	4096	five_prime_utr	1	33138	4217
train	4096	five_prime_utr	2	33455	4258
train	4096	five_prime_utr	3	33208	4226
train	4096	five_prime_utr	4	33212	4227
train	4096	five_prime_utr	5	33160	4220
train	4096	five_prime_utr	6	33140	4217
train	4096	five_prime_utr	7	33470	4259
train	4096	five_prime_utr	8	32886	4185
train	4096	five_prime_utr	9	33280	4235
train	4096	five_prime_utr	10	32942	4192
train	4096	five_prime_utr	11	33275	4235
train	4096	three_prime_utr	0	32942	4195
train	4096	three_prime_utr	1	33029	4206
train	4096	three_prime_utr	2	33195	4227
train	4096	three_prime_utr	3	33516	4268
train	4096	three_prime_utr	4	33613	4280
train	4096	three_prime_utr	5	33093	4214
train	4096	three_prime_utr	6	32955	4197
train	4096	three_prime_utr	7	33095	4214
train	4096	three_prime_utr	8	32933	4194
train	4096	three_prime_utr	9	33088	4214
train	4096	three_prime_utr	10	33126	4218
train	4096	three_prime_utr	11	33142	4220
train	4096	intron	0	560637	16454
train	4096	intron	1	558618	16395
train	4096	intron	2	559230	16413
train	4096	intron	3	560207	16441
train	4096	intron	4	560300	16444
train	4096	intron	5	559049	16407
train	4096	intron	6	559686	16426
train	4096	intron	7	559360	16417
train	4096	intron	8	559848	16431
train	4096	intron	9	559143	16410
train	4096	intron	10	560241	16442
train	4096	intron	11	560558	16452
train	4096	gene	0	112128	4242
train	4096	gene	1	111694	4225
train	4096	gene	2	111781	4229
train	4096	gene	3	111496	4218
train	4096	gene	4	111868	4232
train	4096	gene	5	111048	4201
train	4096	gene	6	111470	4217
train	4096	gene	7	111005	4199
train	4096	gene	8	111412	4215
train	4096	gene	9	111607	4222
train	4096	gene	10	111645	4223
train	4096	gene	11	111653	4224
train	4096	mrna	0	22848	2592
train	4096	mrna	1	22971	2606
train	4096	mrna	2	22965	2606
train	4096	mrna	3	22876	2595
train	4096	mrna	4	22888	2597
train	4096	mrna	5	22649	2570
train	4096	mrna	6	23084	2619
train	4096	mrna	7	22881	2596
train	4096	mrna	8	22728	2579
train	4096	mrna	9	22791	2586
train	4096	mrna	10	22752	2581
train	4096	mrna	11	22819	2589
train	4096	transcript	0	407	407
train	4096	transcript	1	431	431
train	4096	transcript	2	417	417
train	4096	transcript	3	423	423
train	4096	transcript	4	383	383
train	4096	transcript	5	403	403
train	4096	transcript	6	413	413
train	4096	transcript	7	436	436
train	4096	transcript	8	390	390
train	4096	transcript	9	407	407
train	4096	transcript	10	432	432
train	4096	transcript	11	436	436
train	4096	background	0	53267	12324
train	4096	background	1	53418	12359
train	4096	background	2	53268	12324
train	4096	background	3	53690	12422
train	4096	background	4	53596	12400
train	4096	background	5	53498	12378
train	4096	background	6	53441	12365
train	4096	background	7	53385	12352
train	4096	background	8	53298	12331
train	4096	background	9	53212	12312
train	4096	background	10	53683	12420
train	4096	background	11	53230	12316
validation	4096	all	0	365616	4171
validation	4096	all	1	365156	4166
validation	4096	all	2	365202	4166
validation	4096	all	3	364614	4159
validation	4096	all	4	364934	4163
validation	4096	all	5	366277	4178
validation	4096	all	6	364975	4164
validation	4096	all	7	365126	4165
validation	4096	all	8	365674	4171
validation	4096	all	9	365693	4172
validation	4096	all	10	364431	4157
validation	4096	all	11	365341	4168
test	4096	all	0	208873	4182
test	4096	all	1	208525	4175
test	4096	all	2	207281	4150
test	4096	all	3	208380	4172
test	4096	all	4	208290	4170
test	4096	all	5	207727	4159
test	4096	all	6	207985	4164
test	4096	all	7	208564	4176
test	4096	all	8	207698	4159
test	4096	all	9	207958	4164
test	4096	all	10	207798	4161
test	4096	all	11	208175	4168
train	8192	cds	0	977509	43007
train	8192	cds	1	977623	43012
train	8192	cds	2	978135	43035
train	8192	cds	3	977880	43024
train	8192	cds	4	978467	43049
train	8192	cds	5	978169	43036
train	8192	cds	6	978469	43049
train	8192	cds	7	978538	43053
train	8192	cds	8	978537	43052
train	8192	cds	9	979528	43096
train	8192	cds	10	976528	42964
train	8192	cds	11	976656	42970
train	8192	exon	0	235523	21703
train	8192	exon	1	234935	21649
train	8192	exon	2	234934	21649
train	8192	exon	3	234904	21646
train	8192	exon	4	234321	21593
train	8192	exon	5	235190	21673
train	8192	exon	6	235350	21688
train	8192	exon	7	235082	21663
train	8192	exon	8	235653	21715
train	8192	exon	9	234999	21655
train	8192	exon	10	235646	21715
train	8192	exon	11	234949	21651
train	8192	five_prime_utr	0	33643	7535
train	8192	five_prime_utr	1	33313	7461
train	8192	five_prime_utr	2	33141	7423
train	8192	five_prime_utr	3	32946	7379
train	8192	five_prime_utr	4	33274	7453
train	8192	five_prime_utr	5	32935	7377
train	8192	five_prime_utr	6	32862	7360
train	8192	five_prime_utr	7	33282	7454
train	8192	five_prime_utr	8	32951	7380
train	8192	five_prime_utr	9	33177	7431
train	8192	five_prime_utr	10	33387	7478
train	8192	five_prime_utr	11	32906	7370
train	8192	three_prime_utr	0	33108	7419
train	8192	three_prime_utr	1	33154	7430
train	8192	three_prime_utr	2	33251	7452
train	8192	three_prime_utr	3	33320	7467
train	8192	three_prime_utr	4	33117	7422
train	8192	three_prime_utr	5	33302	7463
train	8192	three_prime_utr	6	33308	7464
train	8192	three_prime_utr	7	32977	7390
train	8192	three_prime_utr	8	33024	7401
train	8192	three_prime_utr	9	32947	7383
train	8192	three_prime_utr	10	33211	7443
train	8192	three_prime_utr	11	32878	7368
train	8192	intron	0	559026	28808
train	8192	intron	1	558341	28773
train	8192	intron	2	559363	28826
train	8192	intron	3	558629	28788
train	8192	intron	4	557577	28733
train	8192	intron	5	558537	28783
train	8192	intron	6	558800	28797
train	8192	intron	7	558485	28780
train	8192	intron	8	559762	28846
train	8192	intron	9	558414	28777
train	8192	intron	10	557917	28751
train	8192	intron	11	558613	28787
train	8192	gene	0	110999	7403
train	8192	gene	1	111395	7430
train	8192	gene	2	111159	7414
train	8192	gene	3	111174	7415
train	8192	gene	4	111648	7446
train	8192	gene	5	111041	7406
train	8192	gene	6	111337	7426
train	8192	gene	7	111496	7436
train	8192	gene	8	111337	7426
train	8192	gene	9	111697	7450
train	8192	gene	10	111361	7427
train	8192	gene	11	111285	7422
train	8192	mrna	0	22590	4527
train	8192	mrna	1	22969	4603
train	8192	mrna	2	22843	4577
train	8192	mrna	3	22794	4567
train	8192	mrna	4	22864	4581
train	8192	mrna	5	22958	4600
train	8192	mrna	6	22950	4599
train	8192	mrna	7	22775	4564
train	8192	mrna	8	22838	4576
train	8192	mrna	9	22574	4523
train	8192	mrna	10	23106	4630
train	8192	mrna	11	22833	4575
train	8192	transcript	0	416	416
train	8192	transcript	1	410	410
train	8192	transcript	2	442	442
train	8192	transcript	3	409	409
train	8192	transcript	4	429	429
train	8192	transcript	5	412	412
train	8192	transcript	6	444	444
train	8192	transcript	7	380	380
train	8192	transcript	8	415	415
train	8192	transcript	9	427	427
train	8192	transcript	10	379	379
train	8192	transcript	11	399	399
train	8192	background	0	27217	21860
train	8192	background	1	26691	21437
train	8192	background	2	27073	21744
train	8192	background	3	26792	21519
train	8192	background	4	26995	21682
train	8192	background	5	26948	21644
train	8192	background	6	26715	21457
train	8192	background	7	26983	21672
train	8192	background	8	27337	21956
train	8192	background	9	26879	21588
train	8192	background	10	27102	21768
train	8192	background	11	26984	21673
validation	8192	all	0	358482	4157
validation	8192	all	1	359609	4171
validation	8192	all	2	358369	4156
validation	8192	all	3	358338	4156
validation	8192	all	4	358870	4162
validation	8192	all	5	359371	4168
validation	8192	all	6	359314	4167
validation	8192	all	7	359369	4168
validation	8192	all	8	360090	4176
validation	8192	all	9	359914	4174
validation	8192	all	10	359014	4164
validation	8192	all	11	360532	4181
test	8192	all	0	205057	4184
test	8192	all	1	205234	4187
test	8192	all	2	203997	4162
test	8192	all	3	204145	4165
test	8192	all	4	204161	4165
test	8192	all	5	204565	4174
test	8192	all	6	204354	4169
test	8192	all	7	203777	4157
test	8192	all	8	203705	4156
test	8192	all	9	203645	4155
test	8192	all	10	204299	4168
test	8192	all	11	203821	4158
train	16384	cds	0	974340	3051
train	16384	cds	1	975045	3053
train	16384	cds	2	974887	3053
train	16384	cds	3	974521	3052
train	16384	cds	4	973893	3050
train	16384	cds	5	975533	3055
train	16384	cds	6	974431	3052
train	16384	cds	7	976432	3058
train	16384	cds	8	972940	3047
train	16384	cds	9	974102	3050
train	16384	cds	10	973003	3047
train	16384	cds	11	974841	3053
train	16384	exon	0	234179	1524
train	16384	exon	1	233929	1523
train	16384	exon	2	234613	1527
train	16384	exon	3	234256	1525
train	16384	exon	4	234564	1527
train	16384	exon	5	234659	1527
train	16384	exon	6	234749	1528
train	16384	exon	7	234077	1523
train	16384	exon	8	234250	1525
train	16384	exon	9	233979	1523
train	16384	exon	10	234949	1529
train	16384	exon	11	234991	1529
train	16384	five_prime_utr	0	33359	512
train	16384	five_prime_utr	1	33282	511
train	16384	five_prime_utr	2	33052	508
train	16384	five_prime_utr	3	33019	507
train	16384	five_prime_utr	4	33155	509
train	16384	five_prime_utr	5	33196	510
train	16384	five_prime_utr	6	32959	506
train	16384	five_prime_utr	7	32979	507
train	16384	five_prime_utr	8	33115	509
train	16384	five_prime_utr	9	32876	505
train	16384	five_prime_utr	10	33149	509
train	16384	five_prime_utr	11	33282	511
train	16384	three_prime_utr	0	32829	504
train	16384	three_prime_utr	1	33219	510
train	16384	three_prime_utr	2	33270	511
train	16384	three_prime_utr	3	33161	510
train	16384	three_prime_utr	4	33371	513
train	16384	three_prime_utr	5	32974	507
train	16384	three_prime_utr	6	33103	509
train	16384	three_prime_utr	7	33025	507
train	16384	three_prime_utr	8	32932	506
train	16384	three_prime_utr	9	33051	508
train	16384	three_prime_utr	10	33107	509
train	16384	three_prime_utr	11	33216	510
train	16384	intron	0	554688	2028
train	16384	intron	1	556541	2035
train	16384	intron	2	555463	2031
train	16384	intron	3	557321	2038
train	16384	intron	4	556457	2034
train	16384	intron	5	557375	2038
train	16384	intron	6	557807	2039
train	16384	intron	7	555790	2032
train	16384	intron	8	557541	2038
train	16384	intron	9	556841	2036
train	16384	intron	10	556271	2034
train	16384	intron	11	555665	2031
train	16384	gene	0	110626	507
train	16384	gene	1	111540	512
train	16384	gene	2	111225	510
train	16384	gene	3	110987	509
train	16384	gene	4	110705	508
train	16384	gene	5	110870	508
train	16384	gene	6	110684	508
train	16384	gene	7	111217	510
train	16384	gene	8	110798	508
train	16384	gene	9	110703	508
train	16384	gene	10	110675	508
train	16384	gene	11	110812	508
train	16384	mrna	0	22869	306
train	16384	mrna	1	22837	305
train	16384	mrna	2	22978	307
train	16384	mrna	3	23042	308
train	16384	mrna	4	22907	306
train	16384	mrna	5	22589	302
train	16384	mrna	6	22721	304
train	16384	mrna	7	22663	303
train	16384	mrna	8	22711	304
train	16384	mrna	9	22618	303
train	16384	mrna	10	23011	308
train	16384	mrna	11	22849	306
train	16384	transcript	0	402	199
train	16384	transcript	1	386	191
train	16384	transcript	2	394	195
train	16384	transcript	3	434	215
train	16384	transcript	4	444	220
train	16384	transcript	5	399	197
train	16384	transcript	6	385	191
train	16384	transcript	7	415	205
train	16384	transcript	8	446	221
train	16384	transcript	9	376	186
train	16384	transcript	10	407	201
train	16384	transcript	11	445	220
train	16384	background	0	13732	1520
train	16384	background	1	13801	1528
train	16384	background	2	13738	1521
train	16384	background	3	13817	1529
train	16384	background	4	13746	1521
train	16384	background	5	13891	1537
train	16384	background	6	13656	1511
train	16384	background	7	13865	1535
train	16384	background	8	13696	1516
train	16384	background	9	13763	1523
train	16384	background	10	13859	1534
train	16384	background	11	13867	1535
validation	16384	all	0	354771	4161
validation	16384	all	1	356009	4175
validation	16384	all	2	355137	4165
validation	16384	all	3	355352	4168
validation	16384	all	4	355124	4165
validation	16384	all	5	355484	4169
validation	16384	all	6	354920	4163
validation	16384	all	7	355902	4174
validation	16384	all	8	355550	4170
validation	16384	all	9	355196	4166
validation	16384	all	10	354951	4163
validation	16384	all	11	354810	4161
test	16384	all	0	199779	4175
test	16384	all	1	199226	4164
test	16384	all	2	199613	4172
test	16384	all	3	199893	4178
test	16384	all	4	199367	4167
test	16384	all	5	199311	4166
test	16384	all	6	198883	4157
test	16384	all	7	198921	4157
test	16384	all	8	199345	4166
test	16384	all	9	199670	4173
test	16384	all	10	199272	4165
test	16384	all	11	199056	4160
